|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|51|20|39.2
Cluster 1|21|2|9.5
Cluster 2|65|48|73.8
Cluster 3|63|30|47.6
Cluster 4|20|0|0.0
Cluster 5|57|40|70.2
Cluster 6|30|14|46.7
Cluster 7|48|19|39.6
Cluster 8|32|12|37.5
Cluster 9|60|25|41.7
