|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|44|18|40.9
Cluster 1|25|3|12.0
Cluster 2|58|40|69.0
Cluster 3|74|48|64.9
Cluster 4|26|1|3.8
Cluster 5|66|35|53.0
Cluster 6|30|15|50.0
Cluster 7|41|14|34.1
Cluster 8|30|13|43.3
Cluster 9|53|23|43.4
