|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|93|40|43.0
Cluster 1|74|31|41.9
Cluster 2|100|73|73.0
Cluster 3|100|49|49.0
Cluster 4|80|17|21.2
