|Unnamed: 0|x|y|labels|Cluster
0|0|-18.51273536682129|11.162242889404297|Lebensmittelfarbe|C8
1|1|-14.83780574798584|22.77844429016113|TL|C4
2|2|22.14349174499512|7.416310787200928|(gehäuft)|C2
3|3|15.111977577209473|-5.928212642669678|Backpulver|C3
4|4|-13.046016693115234|25.185100555419922|EL|C4
5|5|10.735986709594727|-10.10220718383789|Speisestärke|C5
6|6|-17.360710144042972|16.348197937011722|Dose(n)|C8
7|7|-17.172094345092773|-3.725385904312134|(klein)|C0
8|8|-16.27128028869629|19.390018463134766|ja!|C1
9|9|-3.831710577011109|-15.520658493041992|Sweet|C9
10|10|-9.17938232421875|-13.277894973754885|Mais|C9
11|11|-12.3082275390625|26.452699661254886|g|C4
12|12|20.46186065673828|6.431541442871094|Rotkohl|C2
13|13|23.10251426696777|9.95190715789795|Avocado|C2
14|14|-14.957181930541992|22.37252616882324|etwas|C4
15|15|9.591267585754396|-11.008890151977539|Balsamico-Essig|C5
16|16|-18.399377822875977|2.143756151199341|Abrieb|C0
17|17|-18.77431869506836|7.297592639923097|Limette|C6
18|18|-12.857406616210938|25.516462326049805|einer|C4
19|19|-16.52446174621582|18.745012283325195|Zitrone|C1
20|20|-15.140533447265625|20.815977096557614|halben|C1
21|21|0.8639554381370544|-15.569512367248535|Bio-Orange|C5
22|22|-14.49632167816162|22.599950790405273|und|C4
23|23|-15.924703598022461|19.15390968322754|Saft|C1
24|24|-18.68260955810547|10.566877365112305|unbehandelten|C6
25|25|-12.605210304260256|26.11747932434082|von|C4
26|26|-18.28693389892578|0.3509355187416077|Bio-Zitrone|C0
27|27|18.12957572937012|-2.388633251190185|Barilla|C3
28|28|21.47132873535156|7.718794345855713|Linguine|C2
29|29|-13.98637580871582|24.689292907714844|ml|C4
30|30|-18.943811416625977|4.0608229637146005|Aceto|C6
31|31|-18.43040657043457|11.938068389892578|Balsamico|C8
32|32|-18.828968048095703|6.732358932495117|di|C6
33|33|-4.970454216003418|-15.304201126098633|Modena|C9
34|34|-14.19502067565918|23.79162788391113|(z.|C4
35|35|-13.47382926940918|24.55338478088379|B.|C4
36|36|-12.295108795166016|26.46815490722656|REWE|C4
37|37|-13.40205192565918|25.491838455200195|Feine|C4
38|38|-18.95693016052246|6.2250609397888175|Welt)|C6
39|39|-17.029146194458008|15.995835304260256|Bio)|C8
40|40|-13.975492477416992|24.519386291503906|(z.B.|C4
41|41|-18.620086669921875|10.52618408203125|(nach|C6
42|42|-4.238068580627441|-14.649106979370115|Belieben)|C9
43|43|-5.0850019454956055|-15.939210891723633|Bergkäse|C9
44|44|-18.2744197845459|13.221205711364744|Gouda|C8
45|45|-18.95418357849121|5.498654842376709|Ananas|C6
46|46|-17.968585968017578|14.004301071166992|Scheibe(n)|C8
47|47|-17.539093017578125|14.135486602783205|(aus|C8
48|48|-13.986565589904785|24.18966293334961|der|C4
49|49|16.240297317504886|-0.6103914380073547|Dose)|C3
50|50|-18.217947006225586|-2.5752291679382324|kleine|C0
51|51|-16.476280212402347|18.67398452758789|(oder|C1
52|52|-13.66561222076416|24.265958786010746|Beste|C4
53|53|-18.37954330444336|12.985366821289062|Wahl)|C8
54|54|-14.954180717468262|21.59923553466797|Scheiben|C1
55|55|-13.072174072265625|25.70314979553223|aus|C4
56|56|-18.00628089904785|-0.797631561756134|Dose|C0
57|57|-14.238724708557127|23.494489669799805|in|C4
58|58|-18.97810935974121|6.937228679656982|(frisch|C6
59|59|-15.563358306884766|21.2111930847168|oder|C1
60|60|14.889885902404785|-6.495046615600586|Apfelsaft|C3
61|61|-14.329989433288574|22.926616668701172|Regional|C4
62|62|-18.61617660522461|3.6479570865631104|Käse|C6
63|63|5.645930767059326|-12.47818374633789|Aprikosen|C5
64|64|-4.296661376953125|-15.12114429473877|(groß)|C9
65|65|-13.751727104187012|25.11154556274414|Welt|C4
66|66|-18.12268829345703|12.306546211242676||C8
67|67|5.464293003082275|-13.277511596679688|Rapsöl|C5
68|68|19.829612731933594|4.7982826232910165|halbe|C2
69|69|23.04044914245605|12.327817916870115|Avocados|C2
70|70|19.152482986450195|0.8225780129432678|Gewürz|C3
71|71|16.888540267944336|-2.478515625|Spinat|C3
72|72|-16.011722564697266|-6.86481237411499|Handvoll|C7
73|73|-10.98575496673584|-11.586786270141602|Salat|C7
74|74|-19.01605796813965|3.7077040672302246|Öl|C6
75|75|-14.498556137084961|23.15381622314453|für|C4
76|76|3.73442006111145|-13.852417945861815|das|C5
77|77|16.538959503173828|-4.5064358711242685|Bacon|C3
78|78|-5.805844783782959|-14.499102592468262|(in|C9
79|79|-12.481745719909668|-10.400830268859863|(optional)|C7
80|80|-18.3818302154541|9.279190063476562|am|C6
81|81|-15.789070129394533|19.472108840942386|Stück|C1
82|82|-7.593518257141112|-14.339622497558596|Creme|C9
83|83|21.405513763427734|8.360940933227539|Banane|C2
84|84|19.89028549194336|3.9864134788513184|Bananen|C2
85|85|2.247234582901001|-15.643033981323242|PRO|C5
86|86|8.969043731689453|-11.83705234527588|PLANET|C5
87|87|21.690061569213867|5.555014133453369|Bandnudeln|C2
88|88|21.99555015563965|10.573248863220217|Soße|C2
89|89|23.1474552154541|10.80741024017334|Penne|C2
90|90|-7.144577026367188|-14.618033409118652|Pesto|C9
91|91|-17.3314208984375|-5.677031993865968|&|C7
92|92|-16.155956268310547|18.479469299316406|Bund|C1
93|93|-17.572622299194336|-2.802998304367065|Basilikum|C0
94|94|-15.945265769958494|-6.165841579437256|(zum|C7
95|95|-16.812828063964847|17.503215789794922|frisch|C1
