|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|44|19|43.2
Cluster 1|28|5|17.9
Cluster 2|60|45|75.0
Cluster 3|49|33|67.3
Cluster 4|31|0|0.0
Cluster 5|55|29|52.7
Cluster 6|41|19|46.3
Cluster 7|55|20|36.4
Cluster 8|31|13|41.9
Cluster 9|53|27|50.9
