|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|46|22|47.8
Cluster 1|13|1|7.7
Cluster 2|61|45|73.8
Cluster 3|65|39|60.0
Cluster 4|22|0|0.0
Cluster 5|57|35|61.4
Cluster 6|28|6|21.4
Cluster 7|53|20|37.7
Cluster 8|34|13|38.2
Cluster 9|68|29|42.6
