|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|43|16|37.2
Cluster 1|37|7|18.9
Cluster 2|53|39|73.6
Cluster 3|40|28|70.0
Cluster 4|30|0|0.0
Cluster 5|54|34|63.0
Cluster 6|33|17|51.5
Cluster 7|55|24|43.6
Cluster 8|38|16|42.1
Cluster 9|64|29|45.3
