|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|44|19|43.2
Cluster 1|14|1|7.1
Cluster 2|53|40|75.5
Cluster 3|72|38|52.8
Cluster 4|17|0|0.0
Cluster 5|60|41|68.3
Cluster 6|26|3|11.5
Cluster 7|57|27|47.4
Cluster 8|32|14|43.8
Cluster 9|72|27|37.5
