nameId,name,amount,unit,unitId,frequency
521,frischer Spinat,300,g,1,7729
524,Hackfleisch vom Rind,500,g,1,7729
532,REWE Bio Joghurt mild,300,g,1,7729
536,"REWE Bio Süßrahmbutter, Zimmertemperatur",200,g,1,7729
537,ja! Raffinade Zucker,250,g,1,7729
541,REWE Bio Weizen-Vollkornmehl,200,g,1,7729
542,REWE Beste Wahl Weizenmehl Type 405,250,g,1,7729
546,REWE Beste Wahl Weiße Schokoladen-Kuvertüre,200,g,1,7729
550,Weizenmehl,800,g,1,7729
561,REWE Bio Tofu Natur,300,g,1,7729
566,getrocknete Tomaten,50,g,1,7729
567,schwarze Oliven,100,g,1,7729
568,Feta,100,g,1,7729
576,REWE Beste Wahl weiche Weidebutter,75,g,1,7729
579,REWE Bio Dinkelmehl Type 630,150,g,1,7729
583,Schnittlauch,15,g,1,7729
586,REWE Bio Saure Sahne,100,g,1,7729
590,Reis,400,g,1,7729
594,TK-Erbsen,200,g,1,7729
596,Sahne,100,g,1,7729
599,Seelachsfilet,500,g,1,7729
604,Edel-Nuss-Mischung,100,g,1,7729
608,Feldsalat,150,g,1,7729
613,REWE Bio Feta 45%,300,g,1,7729
615,REWE Beste Wahl aromatische Walnüsse ganze Kerne,100,g,1,7729
621,Champignons,300,g,1,7729
622,bunte Paprika,250,g,1,7729
636,Walnüsse,150,g,1,7729
637,Feta (z. B. von REWE Bio),350,g,1,7729
638,Blattspinat,750,g,1,7729
641,Feta,200,g,1,7729
652,Feta,100,g,1,7729
659,Kirschtomaten,100,g,1,7729
663,schwarze Oliven,50,g,1,7729
666,Feta,100,g,1,7729
667,Instant Weizenmehl,150,g,1,7729
668,Magerquark,125,g,1,7729
672,braune Champignons,250,g,1,7729
673,REWE Bio Tomaten,250,g,1,7729
676,Blattsalat,125,g,1,7729
677,REWE Bio Feta,150,g,1,7729
681,Naturjoghurt,100,g,1,7729
683,Spaghetti,250,g,1,7729
684,Melone,200,g,1,7729
685,Feta,200,g,1,7729
691,grober Bulgur,150,g,1,7729
694,Pinienkerne,50,g,1,7729
695,Rinderhackfleisch,300,g,1,7729
702,Feta,100,g,1,7729
704,Feta,100,g,1,7729
705,Walnüsse,50,g,1,7729
714,REWE Frei von Magerquark laktosefrei,150,g,1,7729
