|x|y|labels|Cluster
0|-22.0428409576416|2.1457622051239014|Lebensmittelfarbe|8
1|-27.526845932006836|-9.932680130004883|TL|1
2|11.26502799987793|-20.696626663208008|(gehäuft)|2
3|15.054088592529297|-13.682147979736328|Backpulver|3
4|-26.986989974975586|-9.734088897705078|EL|1
5|13.6100492477417|-12.008883476257324|Speisestärke|3
6|-21.797439575195312|1.1163283586502075|Dose(n)|8
7|-10.961434364318848|12.840118408203125|(klein)|6
8|-25.327545166015625|-5.0629377365112305|ja!|4
9|9.029144287109375|12.008666038513184|Sweet|7
10|5.177483558654785|13.866740226745605|Mais|7
11|-28.34891700744629|-12.474114418029785|g|1
12|11.585623741149902|-17.587034225463867|Rotkohl|2
13|9.642251968383789|-24.20572853088379|Avocado|2
14|-26.601465225219727|-8.152729034423828|etwas|1
15|16.002212524414062|-6.668858528137207|Balsamico-Essig|3
16|-17.081647872924805|8.98436450958252|Abrieb|6
17|-16.166593551635742|8.870855331420898|Limette|6
18|-28.048940658569336|-11.039092063903809|einer|1
19|-23.974477767944336|-1.6591933965682983|Zitrone|4
20|-26.286897659301758|-6.414623260498047|halben|4
21|13.202874183654785|7.846975803375244|Bio-Orange|5
22|-26.865570068359375|-9.18852424621582|und|1
23|-25.55769157409668|-6.245706558227539|Saft|4
24|-20.672454833984375|3.5919477939605713|unbehandelten|8
25|-28.216127395629883|-12.193547248840332|von|1
26|-16.833393096923828|9.244129180908203|Bio-Zitrone|6
27|13.265305519104004|-16.6303653717041|Barilla|2
28|11.09074592590332|-20.509136199951172|Linguine|2
29|-27.132057189941406|-10.30255126953125|ml|1
30|-18.17622947692871|7.26082706451416|Aceto|6
31|-23.20437240600586|-1.3582199811935425|Balsamico|4
32|-11.3115234375|12.37197494506836|di|6
33|11.565069198608398|9.221450805664062|Modena|7
34|-27.074726104736328|-10.284675598144531|(z.|1
35|-27.1181640625|-10.50996208190918|B.|1
36|-28.35674285888672|-12.49694538116455|REWE|1
37|-27.71601104736328|-11.488454818725586|Feine|1
38|-18.917308807373047|6.127789497375488|Welt)|8
39|-22.94060707092285|-0.29375720024108887|Bio)|4
40|-27.110023498535156|-9.076192855834961|(z.B.|1
41|-21.40350914001465|1.9151073694229126|(nach|8
42|3.263704299926758|15.217403411865234|Belieben)|7
43|16.370431900024414|0.6062700152397156|Bergkäse|5
44|-23.782854080200195|-1.132483959197998|Gouda|4
45|-17.812944412231445|7.833330154418945|Ananas|6
46|-23.3542537689209|-1.0469087362289429|Scheibe(n)|4
47|-21.04665184020996|3.1114718914031982|(aus|8
48|-27.83298110961914|-10.462042808532715|der|1
49|16.499685287475586|-1.8690948486328125|Dose)|5
50|-14.065991401672363|11.205368041992188|kleine|6
51|-24.94899559020996|-4.272858619689941|(oder|4
52|-27.257450103759766|-10.904131889343262|Beste|1
53|-22.33769416809082|1.4223369359970093|Wahl)|8
54|-24.842735290527344|-4.014389991760254|Scheiben|4
55|-28.027650833129883|-11.187809944152832|aus|1
56|-5.698194980621338|14.769960403442383|Dose|0
57|-26.58797836303711|-8.06192398071289|in|1
58|-18.49211883544922|6.573875427246094|(frisch|8
59|-26.837526321411133|-8.6588134765625|oder|1
60|15.69601821899414|-3.85880970954895|Apfelsaft|5
61|-26.284099578857422|-6.604780197143555|Regional|4
62|-13.356607437133789|11.586108207702637|Käse|6
63|8.274439811706543|12.558951377868652|Aprikosen|7
64|4.556509971618652|14.29163646697998|(groß)|7
65|-27.685638427734375|-10.092065811157227|Welt|1
66|-21.751380920410156|2.402113676071167||8
67|14.936164855957031|4.8776535987854|Rapsöl|5
68|12.66234016418457|-16.77406120300293|halbe|2
69|8.924490928649902|-25.224456787109375|Avocados|2
70|13.919235229492188|5.057559013366699|Gewürz|5
71|15.59167194366455|-9.804527282714844|Spinat|3
72|-3.6167964935302734|15.747340202331543|Handvoll|0
73|-6.605810642242432|14.914958000183105|Salat|0
74|-19.72174644470215|4.686147689819336|Öl|8
75|-26.830942153930664|-9.258399963378906|für|1
76|10.587577819824219|10.0303373336792|das|7
77|13.743023872375488|5.327415943145752|Bacon|5
78|2.304774761199951|15.45907974243164|(in|0
79|-4.885910987854004|16.029094696044922|(optional)|0
80|-19.343671798706055|5.519427299499512|am|8
81|-24.79258155822754|-3.453125238418579|Stück|4
82|4.3691487312316895|14.682058334350586|Creme|7
83|9.345378875732422|-22.91227912902832|Banane|2
84|14.164170265197754|-12.514226913452148|Bananen|3
85|9.638998985290527|11.8322172164917|PRO|7
86|6.281394004821777|14.2418212890625|PLANET|7
87|9.93097972869873|-21.976476669311523|Bandnudeln|2
88|10.927765846252441|-20.324907302856445|Soße|2
89|10.202500343322754|-22.67231559753418|Penne|2
90|14.096447944641113|6.4821672439575195|Pesto|5
91|-7.437786102294922|15.003693580627441|&|0
92|-21.780357360839844|1.4474362134933472|Bund|8
93|-8.18117904663086|13.913311958312988|Basilikum|0
94|-13.825270652770996|11.439740180969238|(zum|6
95|-24.02411460876465|-2.9069371223449707|frisch|4
96|-12.85994815826416|11.501401901245117|getrocknet|6
97|-16.651498794555664|8.3507080078125|im|6
98|-4.15475606918335|15.496448516845703|Topf|0
99|13.849830627441406|-14.150435447692871|(gehackt)|3
100|15.083701133728027|-12.599442481994629|Reis|3
101|14.747628211975098|2.966482639312744|Becher|5
102|-27.783849716186523|-10.428619384765625|Bio|1
103|8.246247291564941|11.824960708618164|saure|7
104|-22.353038787841797|1.3349665403366089|Sahne|8
105|-20.020366668701172|4.547678470611572|Beeren|8
106|16.293813705444336|0.5344133973121643|(zur|5
