|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|41|15|36.6
Cluster 1|8|1|12.5
Cluster 10|40|18|45.0
Cluster 11|4|0|0.0
Cluster 12|26|21|80.8
Cluster 13|16|15|93.8
Cluster 14|9|0|0.0
Cluster 15|51|24|47.1
Cluster 16|19|10|52.6
Cluster 17|24|10|41.7
Cluster 18|8|0|0.0
Cluster 19|15|5|33.3
Cluster 2|25|18|72.0
Cluster 3|33|20|60.6
Cluster 4|7|0|0.0
Cluster 5|24|15|62.5
Cluster 6|20|10|50.0
Cluster 7|24|9|37.5
Cluster 8|13|2|15.4
Cluster 9|40|17|42.5
