EL Agavendicksaft 
EL Ahornsirup 
Ananas 
TL Backpulver 
Bio-Limette 
g Blaubeeren 
EL Butterschmalz 
Cherrytomaten 
Chilischote 
TL Currypulver 
Eigelb 
Handvoll Erdnüsse 
Frühlingszwiebeln 
g Haselnüsse 
g Haselnüsse (gemahlen) 
cm Ingwer 
g Joghurt 
Karotte 
g Kirschtomaten 
TL Kurkuma 
Prise(n) Kümmel 
Limette 
g Magerquark 
EL Mandelblättchen 
ml Milch 
Möhren 
ml Orangensaft 
g REWE Beste Wahl Weizenmehl Type 405 
g REWE Bio Süßrahmbutter 
REWE Bio Zitrone 
REWE Regional Hokkaido 
REWE Regional Zwiebel 
EL REWE ja! Butter mild gesäuert 
g REWE ja! Emmentaler gerieben (45 % Fett) 
TL Rohrohrzucker 
Salatgurke 
Schalotte 
Schalotten 
Halm(e) Schnittlauch 
EL Sesamöl 
Spitzkohl 
g Tofu 
Vanilleschote 
Stange(n) Zitronengras 
Zwiebeln 
g braune Champignons 
TL brauner Zucker 
etwas Butter zum Einfetten 
etwas Puderzucker zum Bestäuben 
TL flüssiger Honig 
g frische Spätzle (Kühlregal) 
gelbe Paprika 
EL geröstete, gesalzene Erdnüsse 
g ja! Puderzucker 
g ja! Weiße Schokolade 
kleine Banane 
rote Chilischote 
rote Zwiebel 
