|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|25|9|36.0
Cluster 1|24|12|50.0
Cluster 2|70|48|68.6
Cluster 3|79|48|60.8
Cluster 4|27|2|7.4
Cluster 5|53|24|45.3
Cluster 6|30|16|53.3
Cluster 7|47|18|38.3
Cluster 8|26|2|7.7
Cluster 9|66|31|47.0
