|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|21|7|33.3
Cluster 1|4|0|0.0
Cluster 10|25|10|40.0
Cluster 11|1|0|0.0
Cluster 12|25|21|84.0
Cluster 13|13|13|100.0
Cluster 14|2|0|0.0
Cluster 15|37|18|48.6
Cluster 16|10|7|70.0
Cluster 17|9|4|44.4
Cluster 18|2|0|0.0
Cluster 19|12|4|33.3
Cluster 2|10|6|60.0
Cluster 20|6|0|0.0
Cluster 21|24|11|45.8
Cluster 22|3|0|0.0
Cluster 23|12|2|16.7
Cluster 24|7|3|42.9
Cluster 25|1|0|0.0
Cluster 26|11|2|18.2
Cluster 27|14|8|57.1
Cluster 28|16|12|75.0
Cluster 29|2|1|50.0
Cluster 3|31|19|61.3
Cluster 30|10|4|40.0
Cluster 31|10|4|40.0
Cluster 32|21|9|42.9
Cluster 33|27|14|51.9
Cluster 34|2|0|0.0
Cluster 35|4|0|0.0
Cluster 36|1|0|0.0
Cluster 37|4|0|0.0
Cluster 38|8|2|25.0
Cluster 39|8|5|62.5
Cluster 4|1|0|0.0
Cluster 5|13|9|69.2
Cluster 6|4|2|50.0
Cluster 7|13|7|53.8
Cluster 8|4|0|0.0
Cluster 9|19|6|31.6
