|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|2|1|50.0
Cluster 1|1|0|0.0
Cluster 10|7|3|42.9
Cluster 11|1|0|0.0
Cluster 12|5|4|80.0
Cluster 13|5|4|80.0
Cluster 14|1|0|0.0
Cluster 15|4|3|75.0
Cluster 16|2|1|50.0
Cluster 17|3|1|33.3
Cluster 18|2|0|0.0
Cluster 19|4|2|50.0
Cluster 2|4|1|25.0
Cluster 20|2|0|0.0
Cluster 21|15|7|46.7
Cluster 22|2|0|0.0
Cluster 23|5|1|20.0
Cluster 24|3|2|66.7
Cluster 25|1|0|0.0
Cluster 26|3|3|100.0
Cluster 27|14|9|64.3
Cluster 28|4|4|100.0
Cluster 29|1|0|0.0
Cluster 3|6|3|50.0
Cluster 30|1|0|0.0
Cluster 31|4|1|25.0
Cluster 32|5|3|60.0
Cluster 33|5|3|60.0
Cluster 34|2|0|0.0
Cluster 35|1|0|0.0
Cluster 36|1|0|0.0
Cluster 37|1|0|0.0
Cluster 38|2|0|0.0
Cluster 39|3|3|100.0
Cluster 4|1|0|0.0
Cluster 40|2|0|0.0
Cluster 41|2|0|0.0
Cluster 42|13|3|23.1
Cluster 43|15|9|60.0
Cluster 44|4|3|75.0
Cluster 45|7|2|28.6
Cluster 46|4|1|25.0
Cluster 47|4|1|25.0
Cluster 48|1|0|0.0
Cluster 49|15|6|40.0
Cluster 5|11|7|63.6
Cluster 50|1|0|0.0
Cluster 51|3|0|0.0
Cluster 52|1|0|0.0
Cluster 53|2|0|0.0
Cluster 54|3|0|0.0
Cluster 55|2|0|0.0
Cluster 56|2|0|0.0
Cluster 57|2|0|0.0
Cluster 58|3|2|66.7
Cluster 59|4|0|0.0
Cluster 6|3|1|33.3
Cluster 60|4|4|100.0
Cluster 61|2|0|0.0
Cluster 62|7|3|42.9
Cluster 63|8|4|50.0
Cluster 64|1|1|100.0
Cluster 65|1|0|0.0
Cluster 66|3|1|33.3
Cluster 67|5|3|60.0
Cluster 68|4|2|50.0
Cluster 69|2|2|100.0
Cluster 7|1|0|0.0
Cluster 70|4|2|50.0
Cluster 71|8|3|37.5
Cluster 72|3|1|33.3
Cluster 73|2|1|50.0
Cluster 74|7|6|85.7
Cluster 75|1|1|100.0
Cluster 76|9|5|55.6
Cluster 77|9|7|77.8
Cluster 78|6|2|33.3
Cluster 79|9|4|44.4
Cluster 8|3|0|0.0
Cluster 80|6|4|66.7
Cluster 81|3|1|33.3
Cluster 82|3|1|33.3
Cluster 83|6|3|50.0
Cluster 84|6|5|83.3
Cluster 85|13|6|46.2
Cluster 86|3|2|66.7
Cluster 87|11|9|81.8
Cluster 88|6|6|100.0
Cluster 89|6|6|100.0
Cluster 9|4|1|25.0
Cluster 90|12|3|25.0
Cluster 91|3|2|66.7
Cluster 92|2|1|50.0
Cluster 93|15|7|46.7
Cluster 94|6|0|0.0
Cluster 95|2|0|0.0
Cluster 96|5|3|60.0
Cluster 97|3|2|66.7
Cluster 98|3|0|0.0
Cluster 99|3|2|66.7
