|x|y|labels
0|16.605295181274414|13.87384033203125|Lebensmittelfarbe
1|31.689048767089844|10.863018989562988|TL
2|-7.372238636016846|-19.687524795532227|(gehäuft)
3|-11.838876724243164|-14.561158180236816|Backpulver
4|33.71998596191406|10.520817756652832|EL
5|-2.337728977203369|-21.85272979736328|Speisestärke
6|26.39149284362793|12.012823104858398|Dose(n)
7|3.9978249073028564|14.312368392944336|(klein)
8|26.852014541625977|11.895426750183105|ja!
9|-8.040151596069336|11.059686660766602|Sweet
10|3.8285624980926514|14.346036911010742|Mais
11|34.86207962036133|10.940665245056152|g
12|3.5763726234436035|-25.291431427001953|Rotkohl
13|3.071896553039551|-25.794130325317383|Avocado
14|28.70891761779785|11.549181938171387|etwas
15|-14.780466079711914|-11.730692863464355|Balsamico-Essig
16|16.26088523864746|13.613661766052246|Abrieb
17|10.217638969421387|14.605067253112793|Limette
18|34.11408233642578|10.598920822143555|einer
19|25.6619873046875|12.001897811889648|Zitrone
20|29.599451065063477|11.737385749816895|halben
21|-15.677787780761719|1.9338200092315674|Bio-Orange
22|31.628171920776367|10.985649108886719|und
23|30.066694259643555|11.190105438232422|Saft
24|23.39896011352539|12.489855766296387|unbehandelten
25|34.260189056396484|10.657140731811523|von
26|4.416768550872803|14.81405258178711|Bio-Zitrone
27|1.3570019006729126|-23.97408676147461|Barilla
28|4.534540176391602|-25.769594192504883|Linguine
29|32.117919921875|11.121502876281738|ml
30|16.902244567871094|13.621532440185547|Aceto
31|23.637405395507812|12.506691932678223|Balsamico
32|13.863061904907227|14.115179061889648|di
33|1.5481376647949219|14.474373817443848|Modena
34|32.60181427001953|10.540175437927246|(z.
35|32.52237319946289|11.092055320739746|B.
36|34.724327087402344|10.870087623596191|REWE
37|33.06132125854492|10.446667671203613|Feine
38|14.763669967651367|14.067239761352539|Welt)
39|19.167041778564453|13.275224685668945|Bio)
40|32.14755630493164|10.658771514892578|(z.B.
41|19.444656372070312|13.576433181762695|(nach
42|2.358558177947998|14.36401653289795|Belieben)
43|-15.26683235168457|0.8545458316802979|Bergkäse
44|22.26983642578125|12.864222526550293|Gouda
45|6.9692230224609375|14.655584335327148|Ananas
46|27.71730613708496|12.04871654510498|Scheibe(n)
47|18.879287719726562|13.686827659606934|(aus
48|33.029598236083984|10.471076011657715|der
49|-15.873210906982422|0.021956181153655052|Dose)
50|8.744488716125488|14.944043159484863|kleine
51|26.175901412963867|11.972307205200195|(oder
52|32.74189758300781|11.0412015914917|Beste
53|19.674325942993164|13.183829307556152|Wahl)
54|27.373891830444336|11.639810562133789|Scheiben
55|34.19679641723633|10.631553649902344|aus
56|12.834864616394043|14.38722038269043|Dose
57|31.86045265197754|11.149299621582031|in
58|13.492334365844727|14.167062759399414|(frisch
59|30.89081573486328|11.20016098022461|oder
60|-5.6059699058532715|-19.45929527282715|Apfelsaft
61|29.44185447692871|11.725570678710938|Regional
62|-1.7494192123413086|13.53940486907959|Käse
63|-16.265207290649414|-6.458912372589111|Aprikosen
64|-15.411796569824219|-2.9858477115631104|(groß)
65|33.43263626098633|10.528545379638672|Welt
66|18.69629669189453|13.349478721618652|
67|-12.57669734954834|6.728559494018555|Rapsöl
68|-7.8441243171691895|-18.7769832611084|halbe
69|3.17281436920166|-25.868301391601562|Avocados
70|-4.606727123260498|-20.14645004272461|Gewürz
71|-9.494471549987793|-17.25052261352539|Spinat
72|-10.053385734558105|9.141470909118652|Handvoll
73|-14.831156730651855|1.4165257215499878|Salat
74|15.868375778198242|13.916489601135254|Öl
75|29.423538208007812|11.215104103088379|für
76|-15.957672119140625|-5.316206932067871|das
77|-13.814257621765137|-12.779330253601074|Bacon
78|-10.364249229431152|8.600698471069336|(in
79|-2.2674975395202637|13.75561237335205|(optional)
80|9.51662540435791|14.324823379516602|am
81|27.37985610961914|12.161733627319336|Stück
82|-6.17104959487915|12.100030899047852|Creme
83|3.974062919616699|-26.157590866088867|Banane
84|-1.31620192527771|-23.528987884521484|Bananen
85|-5.225238800048828|12.00139045715332|PRO
86|-16.524982452392578|-3.033761739730835|PLANET
87|4.964595794677734|-26.670244216918945|Bandnudeln
88|-3.468834400177002|-22.41118049621582|Soße
89|1.7805535793304443|-24.932449340820312|Penne
90|-10.790806770324707|9.161959648132324|Pesto
91|7.073915004730225|14.658795356750488|&
92|22.866500854492188|12.990973472595215|Bund
93|1.1107057332992554|14.498214721679688|Basilikum
94|-0.25726544857025146|14.532342910766602|(zum
95|24.816347122192383|12.338375091552734|frisch
96|5.124866962432861|14.82478141784668|getrocknet
97|20.01490020751953|13.221769332885742|im
98|-2.4239912033081055|13.174003601074219|Topf
99|-5.231909275054932|-20.80190086364746|(gehackt)
100|-11.291977882385254|-15.243145942687988|Reis
101|-15.79470443725586|-7.833834171295166|Becher
102|33.258094787597656|10.979119300842285|Bio
103|-10.333940505981445|8.480923652648926|saure
104|9.162432670593262|14.539958953857422|Sahne
105|17.918407440185547|13.558884620666504|Beeren
106|-13.11353588104248|-13.609493255615234|(zur
107|18.79825782775879|13.630430221557617|nach
108|30.596298217773438|11.04518985748291|Wahl
109|27.227130889892578|12.146832466125488|kg
110|22.145841598510742|13.177875518798828|vom
111|-5.212870121002197|12.340521812438965|Rind
112|-13.860116958618164|-10.871968269348145|gewürfelt
113|0.7545304298400879|14.17638874053955|gerieben
114|-8.037899017333984|10.635247230529785|Natives
115|30.218379974365234|11.519501686096191|Olivenöl
116|12.678668975830078|14.018777847290039|extra
117|13.380695343017578|14.589040756225586|Schlagsahne
118|-16.221878051757812|-1.6246533393859863|Bier
