|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|25|7|28.0
Cluster 1|8|0|0.0
Cluster 10|32|19|59.4
Cluster 11|2|0|0.0
Cluster 12|33|22|66.7
Cluster 13|18|16|88.9
Cluster 14|9|1|11.1
Cluster 15|42|20|47.6
Cluster 16|24|11|45.8
Cluster 17|26|12|46.2
Cluster 18|7|0|0.0
Cluster 19|12|2|16.7
Cluster 2|25|19|76.0
Cluster 3|38|21|55.3
Cluster 4|10|0|0.0
Cluster 5|27|18|66.7
Cluster 6|17|3|17.6
Cluster 7|28|10|35.7
Cluster 8|21|11|52.4
Cluster 9|43|18|41.9
