|x|y|labels|Cluster
0|-2.246476173400879|24.034778594970703|Lebensmittelfarbe|6
1|11.317241668701172|37.357425689697266|TL|4
2|-9.76764965057373|-30.70140838623047|(gehäuft)|2
3|-2.703535318374634|-25.4479923248291|Backpulver|3
4|13.550227165222168|39.53221130371094|EL|4
5|0.8602679967880249|-22.595388412475586|Speisestärke|3
6|6.309225559234619|33.35988235473633|Dose(n)|1
7|-3.841508626937866|13.913402557373047|(klein)|0
8|8.676499366760254|35.42951965332031|ja!|1
9|-2.585402250289917|7.0005292892456055|Sweet|7
10|-3.9239306449890137|14.04610538482666|Mais|0
11|13.68243408203125|39.89479064941406|g|4
12|-10.3317289352417|-30.585399627685547|Rotkohl|2
13|-14.207674980163574|-32.925392150878906|Avocado|2
14|9.640996932983398|36.30622100830078|etwas|4
15|1.2585474252700806|-21.531082153320312|Balsamico-Essig|3
16|2.2875516414642334|30.384401321411133|Abrieb|8
17|2.6814565658569336|30.505109786987305|Limette|8
18|13.40621280670166|39.21553421020508|einer|4
19|8.742690086364746|35.3870735168457|Zitrone|1
20|9.840057373046875|36.58161544799805|halben|4
21|1.6568121910095215|-0.9452337622642517|Bio-Orange|9
22|12.713410377502441|38.187801361083984|und|4
23|10.235671997070312|36.659515380859375|Saft|4
24|5.057455539703369|32.95869064331055|unbehandelten|1
25|13.468355178833008|39.34634017944336|von|4
26|-0.20031893253326416|27.1170711517334|Bio-Zitrone|8
27|-11.001842498779297|-31.231115341186523|Barilla|2
28|-15.311270713806152|-33.403316497802734|Linguine|2
29|12.263334274291992|38.42133712768555|ml|4
30|0.470280259847641|27.817874908447266|Aceto|8
31|2.366342782974243|29.647693634033203|Balsamico|8
32|-1.1799020767211914|24.817367553710938|di|6
33|-1.7986007928848267|24.744203567504883|Modena|6
34|11.65853214263916|37.66539001464844|(z.|4
35|12.311025619506836|38.45947265625|B.|4
36|13.667620658874512|39.85884475708008|REWE|4
37|12.754521369934082|38.41862869262695|Feine|4
38|-1.0817629098892212|24.81328582763672|Welt)|6
39|4.270148277282715|31.88990020751953|Bio)|1
40|11.908599853515625|38.11503601074219|(z.B.|4
41|-0.6712924242019653|26.25107192993164|(nach|6
42|-1.9205151796340942|7.4980034828186035|Belieben)|7
43|1.6499512195587158|-1.8013300895690918|Bergkäse|9
44|5.704824924468994|32.816070556640625|Gouda|1
45|-2.111980676651001|23.962024688720703|Ananas|6
46|6.996365070343018|34.00636291503906|Scheibe(n)|1
47|1.4468960762023926|28.99290657043457|(aus|8
48|12.584896087646484|37.91980743408203|der|4
49|4.4030303955078125|-7.528654098510742|Dose)|5
50|-0.9145363569259644|25.650968551635742|kleine|6
51|6.465470314025879|33.56270980834961|(oder|1
52|12.430703163146973|37.783897399902344|Beste|4
53|0.8513298630714417|28.284799575805664|Wahl)|8
54|7.28790283203125|34.432823181152344|Scheiben|1
55|13.273880004882812|39.05240249633789|aus|4
56|-1.9671516418457031|23.752059936523438|Dose|6
57|10.528399467468262|36.79530334472656|in|4
58|-1.855538010597229|25.144376754760742|(frisch|6
59|9.075555801391602|35.98085021972656|oder|4
60|-7.90488862991333|-29.267066955566406|Apfelsaft|2
61|10.222277641296387|36.37025451660156|Regional|4
62|-2.252500295639038|5.984071254730225|Käse|7
63|1.836094856262207|-21.966508865356445|Aprikosen|3
64|4.559678554534912|-11.638432502746582|(groß)|5
65|12.049838066101074|38.325035095214844|Welt|4
66|2.5688018798828125|29.95105743408203||8
67|1.8865995407104492|-19.526308059692383|Rapsöl|3
68|-4.268338203430176|-25.928672790527344|halbe|3
69|-14.65489673614502|-33.44478225708008|Avocados|2
70|-1.5725148916244507|-23.999570846557617|Gewürz|3
71|-5.0350799560546875|-27.365930557250977|Spinat|3
72|-4.130139350891113|16.386228561401367|Handvoll|0
73|1.1259902715682983|-0.9327189922332764|Salat|9
74|-0.5835886001586914|25.947582244873047|Öl|6
75|11.179159164428711|37.266170501708984|für|4
76|3.5030343532562256|-5.207973480224609|das|9
77|1.3414509296417236|-22.32831382751465|Bacon|3
78|1.2669432163238525|-0.31586048007011414|(in|9
79|-3.763096809387207|12.382974624633789|(optional)|0
80|-3.885026693344116|18.7410945892334|am|0
81|7.943716049194336|34.92936325073242|Stück|1
82|-3.6980648040771484|12.399714469909668|Creme|0
83|-13.73276138305664|-32.53368377685547|Banane|2
84|-13.995096206665039|-33.10971450805664|Bananen|2
85|-0.5417662262916565|3.0267333984375|PRO|7
86|0.9356014728546143|1.4434694051742554|PLANET|9
87|-10.77530288696289|-30.962743759155273|Bandnudeln|2
88|-15.488828659057617|-33.33206558227539|Soße|2
89|-11.573704719543457|-31.0393009185791|Penne|2
90|2.7157070636749268|-3.142728328704834|Pesto|9
91|-4.134378433227539|15.335813522338867|&|0
92|5.743046760559082|33.218997955322266|Bund|1
93|-2.158902645111084|7.950018405914307|Basilikum|7
94|-3.734541177749634|13.406330108642578|(zum|0
95|4.638384819030762|32.22528839111328|frisch|1
96|-3.2558438777923584|9.944232940673828|getrocknet|7
97|-2.3859643936157227|23.175203323364258|im|6
98|-3.6391525268554688|11.295832633972168|Topf|0
99|0.9565368294715881|-21.85541534423828|(gehackt)|3
100|4.3046183586120605|-11.908944129943848|Reis|5
101|4.024943828582764|-8.939988136291504|Becher|5
102|13.180106163024902|38.9539909362793|Bio|4
103|3.829246997833252|-15.72497844696045|saure|5
104|-0.7116544246673584|26.47955894470215|Sahne|6
105|2.847310781478882|30.470762252807617|Beeren|8
106|-4.42594051361084|-26.67511749267578|(zur|3
