|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|76|31|40.8
Cluster 1|66|11|16.7
Cluster 2|82|60|73.2
Cluster 3|78|46|59.0
Cluster 4|67|27|40.3
Cluster 5|78|35|44.9
