|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|43|13|30.2
Cluster 1|30|6|20.0
Cluster 2|61|49|80.3
Cluster 3|68|40|58.8
Cluster 4|36|2|5.6
Cluster 5|64|29|45.3
Cluster 6|36|16|44.4
Cluster 7|42|22|52.4
Cluster 8|27|13|48.1
Cluster 9|40|20|50.0
