|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|91|37|40.7
Cluster 1|87|20|23.0
Cluster 2|102|70|68.6
Cluster 3|86|51|59.3
Cluster 4|81|32|39.5
