|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|39|15|38.5
Cluster 1|30|6|20.0
Cluster 2|57|41|71.9
Cluster 3|58|38|65.5
Cluster 4|29|1|3.4
Cluster 5|62|34|54.8
Cluster 6|36|14|38.9
Cluster 7|44|19|43.2
Cluster 8|33|14|42.4
Cluster 9|59|28|47.5
