|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|61|25|41.0
Cluster 1|29|1|3.4
Cluster 2|60|46|76.7
Cluster 3|57|31|54.4
Cluster 4|37|10|27.0
Cluster 5|66|43|65.2
Cluster 6|48|21|43.8
Cluster 7|56|21|37.5
Cluster 8|33|12|36.4
