|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|39|17|43.6
Cluster 1|20|4|20.0
Cluster 2|70|54|77.1
Cluster 3|64|31|48.4
Cluster 4|23|0|0.0
Cluster 5|58|36|62.1
Cluster 6|27|13|48.1
Cluster 7|59|22|37.3
Cluster 8|30|7|23.3
Cluster 9|57|26|45.6
