|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|45|17|37.8
Cluster 1|32|5|15.6
Cluster 2|58|39|67.2
Cluster 3|60|33|55.0
Cluster 4|28|0|0.0
Cluster 5|50|38|76.0
Cluster 6|26|12|46.2
Cluster 7|56|27|48.2
Cluster 8|30|13|43.3
Cluster 9|62|26|41.9
