|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|88|35|39.8
Cluster 1|77|35|45.5
Cluster 2|96|72|75.0
Cluster 3|107|54|50.5
Cluster 4|79|14|17.7
