|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|7|3|42.9
Cluster 1|1|0|0.0
Cluster 10|16|8|50.0
Cluster 11|1|0|0.0
Cluster 12|13|10|76.9
Cluster 13|14|10|71.4
Cluster 14|1|0|0.0
Cluster 15|7|5|71.4
Cluster 16|7|6|85.7
Cluster 17|3|1|33.3
Cluster 18|2|0|0.0
Cluster 19|4|2|50.0
Cluster 2|6|2|33.3
Cluster 20|2|0|0.0
Cluster 21|25|13|52.0
Cluster 22|2|0|0.0
Cluster 23|5|1|20.0
Cluster 24|3|2|66.7
Cluster 25|1|0|0.0
Cluster 26|3|3|100.0
Cluster 27|13|8|61.5
Cluster 28|6|6|100.0
Cluster 29|1|0|0.0
Cluster 3|13|11|84.6
Cluster 30|1|0|0.0
Cluster 31|6|3|50.0
Cluster 32|13|4|30.8
Cluster 33|9|3|33.3
Cluster 34|2|0|0.0
Cluster 35|1|0|0.0
Cluster 36|1|0|0.0
Cluster 37|1|0|0.0
Cluster 38|2|1|50.0
Cluster 39|3|3|100.0
Cluster 4|1|0|0.0
Cluster 40|2|0|0.0
Cluster 41|2|0|0.0
Cluster 42|20|9|45.0
Cluster 43|25|13|52.0
Cluster 44|4|3|75.0
Cluster 45|7|2|28.6
Cluster 46|5|1|20.0
Cluster 47|4|1|25.0
Cluster 48|1|0|0.0
Cluster 49|18|6|33.3
Cluster 5|13|9|69.2
Cluster 50|3|0|0.0
Cluster 51|7|1|14.3
Cluster 52|1|0|0.0
Cluster 53|6|4|66.7
Cluster 54|4|1|25.0
Cluster 55|2|0|0.0
Cluster 56|5|1|20.0
Cluster 57|3|1|33.3
Cluster 58|5|2|40.0
Cluster 59|4|0|0.0
Cluster 6|3|1|33.3
Cluster 60|9|5|55.6
Cluster 61|2|0|0.0
Cluster 62|6|0|0.0
Cluster 63|13|6|46.2
Cluster 64|16|6|37.5
Cluster 65|1|0|0.0
Cluster 66|5|1|20.0
Cluster 67|8|6|75.0
Cluster 68|9|4|44.4
Cluster 69|13|13|100.0
Cluster 7|5|3|60.0
Cluster 8|3|0|0.0
Cluster 9|17|6|35.3
