|x|y|labels
0|16.010257720947266|11.594022750854492|Lebensmittelfarbe
1|8.831070899963379|23.335952758789062|TL
2|-24.386747360229492|9.68431282043457|(gehäuft)
3|-12.990083694458008|-9.256311416625977|Backpulver
4|7.675588607788086|24.574695587158203|EL
5|-16.640642166137695|-5.967628002166748|Speisestärke
6|11.290082931518555|19.957582473754883|Dose(n)
7|13.66362190246582|-9.224834442138672|(klein)
8|11.013105392456055|20.331552505493164|ja!
9|11.451756477355957|-11.931188583374023|Sweet
10|15.038161277770996|-8.369613647460938|Mais
11|6.855800151824951|25.673336029052734|g
12|-20.71065902709961|1.1687244176864624|Rotkohl
13|-24.19832992553711|9.048928260803223|Avocado
14|9.161848068237305|22.884191513061523|etwas
15|-15.122488021850586|-7.476917266845703|Balsamico-Essig
16|15.978523254394531|11.967377662658691|Abrieb
17|15.853287696838379|12.365265846252441|Limette
18|7.212296962738037|25.253726959228516|einer
19|10.341739654541016|20.75005531311035|Zitrone
20|10.065032958984375|21.231725692749023|halben
21|7.13588809967041|-14.336640357971191|Bio-Orange
22|8.57734203338623|24.09353256225586|und
23|8.909232139587402|23.284833908081055|Saft
24|15.510539054870605|13.100341796875|unbehandelten
25|7.27047872543335|25.198383331298828|von
26|17.776647567749023|6.428854465484619|Bio-Zitrone
27|-18.33709716796875|-4.028461933135986|Barilla
28|-21.4132022857666|2.121689796447754|Linguine
29|8.15523910522461|24.543785095214844|ml
30|17.046539306640625|7.063515663146973|Aceto
31|14.238184928894043|15.0516357421875|Balsamico
32|18.04082489013672|5.252997398376465|di
33|17.47754669189453|-3.526611566543579|Modena
34|8.252029418945312|23.69240379333496|(z.
35|7.73589563369751|24.39284896850586|B.
36|7.120172500610352|25.35211753845215|REWE
37|8.727713584899902|23.8160343170166|Feine
38|15.819985389709473|11.520221710205078|Welt)
39|13.27718734741211|17.469837188720703|Bio)
40|8.451096534729004|23.571290969848633|(z.B.
41|16.280534744262695|10.585472106933594|(nach
42|17.012210845947266|-4.321537017822266|Belieben)
43|-7.587743282318115|-12.720206260681152|Bergkäse
44|12.868047714233398|16.974987030029297|Gouda
45|17.82057762145996|3.6925315856933594|Ananas
46|12.422348976135254|18.196685791015625|Scheibe(n)
47|15.12307357788086|13.410436630249023|(aus
48|7.987150192260742|24.04483413696289|der
49|-1.99058198928833|-14.838294982910156|Dose)
50|16.917186737060547|-2.528761148452759|kleine
51|12.08411693572998|18.712413787841797|(oder
52|8.365588188171387|24.30786895751953|Beste
53|13.442856788635254|17.2227725982666|Wahl)
54|12.079002380371094|18.72173500061035|Scheiben
55|7.291074275970459|25.1773738861084|aus
56|16.61678123474121|9.559353828430176|Dose
57|9.167885780334473|22.90786361694336|in
58|16.350751876831055|10.381389617919922|(frisch
59|10.648433685302734|21.318885803222656|oder
60|-19.33466339111328|-1.800488829612732|Apfelsaft
61|11.469184875488281|19.66477394104004|Regional
62|12.504721641540527|-10.742118835449219|Käse
63|-8.08411693572998|-13.687856674194336|Aprikosen
64|3.6560723781585693|-15.021397590637207|(groß)
65|9.865592956542969|21.99333953857422|Welt
66|14.65251636505127|14.579404830932617|
67|-8.927265167236328|-13.252104759216309|Rapsöl
68|-17.92479133605957|-3.8357176780700684|halbe
69|-24.881221771240234|9.497834205627441|Avocados
70|-22.389820098876953|4.830183029174805|Gewürz
71|-6.760154724121094|-13.478412628173828|Spinat
72|14.498136520385742|-8.914992332458496|Handvoll
73|12.808042526245117|-10.570945739746094|Salat
74|17.354598999023438|7.25920295715332|Öl
75|10.080948829650879|21.26848602294922|für
76|3.316936731338501|-15.956134796142578|das
77|-16.793699264526367|-6.1355977058410645|Bacon
78|2.82938551902771|-15.47326946258545|(in
79|16.547277450561523|-5.48873233795166|(optional)
80|17.383392333984375|5.215322494506836|am
81|10.55278205871582|21.367361068725586|Stück
82|14.203432083129883|-9.670435905456543|Creme
83|-22.919170379638672|5.600729465484619|Banane
84|-16.375389099121094|-5.578713417053223|Bananen
85|8.022207260131836|-14.817770004272461|PRO
86|4.256899833679199|-15.473180770874023|PLANET
87|-25.011520385742188|9.723932266235352|Bandnudeln
88|-25.325054168701172|11.559894561767578|Soße
89|-24.79090118408203|9.004470825195312|Penne
90|-1.1158556938171387|-15.173521041870117|Pesto
91|17.543685913085938|-2.304556131362915|&
92|12.700716018676758|17.213436126708984|Bund
93|8.355961799621582|-13.934103965759277|Basilikum
94|17.634876251220703|-0.11219638586044312|(zum
95|13.60020637512207|16.607542037963867|frisch
96|14.211148262023926|-9.075749397277832|getrocknet
97|16.282608032226562|10.567156791687012|im
98|17.574663162231445|-2.8798274993896484|Topf
99|-15.878275871276855|-6.549887180328369|(gehackt)
100|-8.456707954406738|-12.968599319458008|Reis
101|-2.524503469467163|-15.353867530822754|Becher
102|8.041299819946289|24.655569076538086|Bio
103|-2.093212604522705|-15.851905822753906|saure
104|17.26314353942871|6.191463470458984|Sahne
105|15.286073684692383|12.93608570098877|Beeren
106|-16.994659423828125|-6.088893413543701|(zur
107|14.39781379699707|14.492907524108887|nach
108|8.636054039001465|24.004213333129883|Wahl
109|10.300106048583984|20.8010311126709|kg
110|14.719236373901367|14.601483345031738|vom
111|16.181026458740234|-5.371593475341797|Rind
112|-1.5514898300170898|-15.620220184326172|gewürfelt
113|14.706999778747559|-8.491996765136719|gerieben
114|17.56304359436035|-0.7416327595710754|Natives
115|11.651987075805664|19.34876823425293|Olivenöl
116|18.021608352661133|4.468479633331299|extra
117|16.03384017944336|11.344137191772461|Schlagsahne
118|-15.323594093322754|-6.805021286010742|Bier
