|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 0|1|1|100.0
Cluster 1|1|0|0.0
Cluster 10|4|4|100.0
Cluster 100|4|1|25.0
Cluster 101|1|1|100.0
Cluster 102|1|0|0.0
Cluster 103|6|2|33.3
Cluster 104|3|1|33.3
Cluster 105|1|1|100.0
Cluster 106|5|4|80.0
Cluster 107|2|1|50.0
Cluster 108|1|0|0.0
Cluster 109|2|0|0.0
Cluster 11|1|0|0.0
Cluster 110|2|0|0.0
Cluster 111|3|2|66.7
Cluster 112|1|0|0.0
Cluster 113|1|0|0.0
Cluster 114|2|1|50.0
Cluster 115|1|1|100.0
Cluster 116|1|0|0.0
Cluster 117|2|1|50.0
Cluster 118|2|2|100.0
Cluster 119|3|3|100.0
Cluster 12|1|1|100.0
Cluster 120|1|1|100.0
Cluster 121|3|0|0.0
Cluster 122|1|1|100.0
Cluster 123|2|1|50.0
Cluster 124|2|1|50.0
Cluster 125|3|2|66.7
Cluster 126|2|2|100.0
Cluster 127|4|4|100.0
Cluster 128|3|1|33.3
Cluster 129|4|2|50.0
Cluster 13|5|4|80.0
Cluster 130|2|1|50.0
Cluster 131|3|2|66.7
Cluster 132|4|1|25.0
Cluster 133|3|3|100.0
Cluster 134|2|1|50.0
Cluster 135|5|1|20.0
Cluster 136|3|3|100.0
Cluster 137|3|0|0.0
Cluster 138|3|1|33.3
Cluster 139|1|0|0.0
Cluster 14|1|0|0.0
Cluster 140|1|1|100.0
Cluster 141|1|1|100.0
Cluster 142|8|4|50.0
Cluster 143|2|0|0.0
Cluster 144|2|2|100.0
Cluster 145|4|2|50.0
Cluster 146|2|1|50.0
Cluster 147|2|1|50.0
Cluster 148|4|2|50.0
Cluster 149|2|1|50.0
Cluster 15|4|3|75.0
Cluster 150|2|0|0.0
Cluster 151|6|2|33.3
Cluster 152|1|0|0.0
Cluster 153|3|0|0.0
Cluster 154|5|2|40.0
Cluster 155|2|0|0.0
Cluster 156|2|2|100.0
Cluster 157|2|2|100.0
Cluster 158|1|0|0.0
Cluster 159|4|1|25.0
Cluster 16|1|0|0.0
Cluster 160|5|4|80.0
Cluster 161|3|0|0.0
Cluster 162|5|1|20.0
Cluster 163|2|2|100.0
