|Zugeordnete Wörter|Daraus Bezeichnungen|Reinheit
Cluster 164|2|0|0.0
Cluster 165|2|2|100.0
Cluster 166|1|1|100.0
Cluster 167|2|2|100.0
Cluster 168|4|2|50.0
Cluster 169|2|2|100.0
Cluster 17|2|1|50.0
Cluster 170|2|2|100.0
Cluster 171|1|1|100.0
Cluster 172|3|1|33.3
Cluster 173|3|2|66.7
Cluster 174|2|1|50.0
Cluster 175|1|1|100.0
Cluster 176|2|1|50.0
Cluster 177|1|0|0.0
Cluster 178|1|1|100.0
Cluster 179|3|1|33.3
Cluster 18|1|0|0.0
Cluster 180|4|2|50.0
Cluster 181|4|1|25.0
Cluster 182|3|2|66.7
Cluster 183|3|1|33.3
Cluster 184|2|2|100.0
Cluster 185|2|1|50.0
Cluster 186|4|1|25.0
Cluster 187|4|1|25.0
Cluster 188|4|2|50.0
Cluster 189|1|1|100.0
Cluster 19|4|2|50.0
Cluster 190|2|1|50.0
Cluster 191|1|1|100.0
Cluster 192|2|2|100.0
Cluster 193|1|1|100.0
Cluster 194|7|5|71.4
Cluster 195|3|1|33.3
Cluster 196|2|1|50.0
Cluster 197|3|3|100.0
Cluster 198|1|1|100.0
Cluster 199|2|1|50.0
Cluster 2|2|0|0.0
Cluster 20|1|0|0.0
Cluster 21|1|1|100.0
Cluster 22|2|0|0.0
Cluster 23|1|0|0.0
Cluster 24|1|0|0.0
Cluster 25|1|0|0.0
Cluster 26|2|2|100.0
Cluster 27|1|0|0.0
Cluster 28|4|4|100.0
Cluster 29|1|0|0.0
Cluster 3|1|1|100.0
Cluster 30|1|0|0.0
Cluster 31|2|1|50.0
Cluster 32|2|1|50.0
Cluster 33|1|0|0.0
Cluster 34|2|0|0.0
Cluster 35|1|0|0.0
Cluster 36|1|0|0.0
Cluster 37|1|0|0.0
Cluster 38|2|0|0.0
Cluster 39|1|0|0.0
Cluster 4|1|0|0.0
Cluster 40|1|0|0.0
Cluster 41|1|0|0.0
Cluster 42|4|0|0.0
Cluster 43|3|1|33.3
Cluster 44|1|1|100.0
Cluster 45|1|1|100.0
Cluster 46|2|0|0.0
Cluster 47|1|0|0.0
Cluster 48|1|0|0.0
Cluster 49|4|2|50.0
Cluster 5|3|2|66.7
Cluster 50|1|0|0.0
Cluster 51|2|0|0.0
Cluster 52|1|0|0.0
Cluster 53|2|0|0.0
Cluster 54|1|0|0.0
Cluster 55|1|0|0.0
Cluster 56|2|0|0.0
Cluster 57|1|0|0.0
Cluster 58|1|0|0.0
Cluster 59|1|0|0.0
Cluster 6|3|1|33.3
Cluster 60|3|3|100.0
Cluster 61|1|0|0.0
Cluster 62|2|1|50.0
Cluster 63|1|1|100.0
Cluster 64|1|0|0.0
Cluster 65|1|0|0.0
Cluster 66|2|0|0.0
Cluster 67|3|1|33.3
Cluster 68|3|1|33.3
Cluster 69|4|3|75.0
Cluster 7|1|0|0.0
Cluster 70|3|1|33.3
Cluster 71|2|1|50.0
Cluster 72|1|0|0.0
Cluster 73|1|1|100.0
Cluster 74|1|1|100.0
Cluster 75|1|0|0.0
Cluster 76|1|0|0.0
Cluster 77|2|1|50.0
Cluster 78|5|3|60.0
Cluster 79|3|0|0.0
Cluster 8|1|0|0.0
Cluster 80|1|0|0.0
Cluster 81|2|1|50.0
Cluster 82|3|1|33.3
Cluster 83|3|1|33.3
Cluster 84|4|2|50.0
Cluster 85|6|4|66.7
Cluster 86|1|0|0.0
Cluster 87|5|4|80.0
Cluster 88|1|1|100.0
Cluster 89|5|5|100.0
Cluster 9|2|1|50.0
Cluster 90|4|3|75.0
Cluster 91|2|1|50.0
Cluster 92|1|0|0.0
Cluster 93|1|1|100.0
Cluster 94|1|0|0.0
Cluster 95|2|0|0.0
Cluster 96|3|2|66.7
Cluster 97|1|0|0.0
Cluster 98|2|0|0.0
Cluster 99|1|0|0.0
